user_id,username,hosted,guested,total
4601806,Hana Hayashi,17,3,20
5200775,Quorum,11,9,20
6632605,Julian Alvarez,5,15,20
14510301,A-40,16,4,20
19926884,SudoKu37,17,3,20
21973491,op45667,13,7,20
224280,Sanjenin Nagi,2,17,19
257977,KDS,2,17,19
521568,mancuso_JM_,10,9,19
1957638,-Sh1n1-,16,3,19
3738344,X a v y,7,12,19
7058457,Default Guy,19,0,19
9029238,uranosu1030,12,7,19
9468283,_mtk,14,5,19
9950381,Haypzeh,10,9,19
9965069,Reed_405,12,7,19
11653544,tadahitotsu,14,5,19
12615278,Maeda,11,8,19
13213075,Burak,15,4,19
9039824,arley_,13,5,18
11004271,Toofu,12,6,18
11601107,Blaidd,10,8,18
14752579,Hashifuzu,15,3,18
21203707,emifuu,15,3,18
23134914,4lw fan,7,11,18
71366,Loctav,4,13,17
378377,Verdisphena,0,17,17
578401,lolcubes,11,6,17
855219,Lundlerol,4,13,17
3793769,Prophecy,7,10,17
6866480,nyanmi-1828,7,10,17
8631719,Tien,9,8,17
9713372,Eloxrad,3,14,17
14563850,Hyrstrill,8,9,17
16429579,Stompy_,9,8,17
38544129,77hina,12,5,17
764425,hs714,0,16,16
918297,Realazy,6,10,16
4455632,gecho,5,11,16
6512678,hikiko-,9,7,16
7479684,Foxeru,4,12,16
10079029,Skidooskei,5,11,16
15538779,velamy,8,8,16
17853754,hacington,10,6,16
244499,TW-KUMA01,0,15,15
4455389,Renka,6,9,15
6096445,sing216,3,12,15
7169208,Nozdormu,4,11,15
26031453,chairIess,9,6,15
201785,Kurosanyan,2,12,14
2849992,Garden,11,3,14
4236855,BPChingu,13,1,14
5146144,Tsukani,4,10,14
10633982,Metzo,11,3,14
10839549,FreezingAnimenz,9,5,14
10959501,enneya,3,11,14
15776151,T w i g,13,1,14
19119172,_CaptainZero,10,4,14
533502,Konpaku Sariel,10,3,13
1238716,Fumika,5,8,13
1623405,Okoayu,8,5,13
4013317,Servatory,7,6,13
6170507,_yu68,8,5,13
9892196,Hoshikuz,7,6,13
10625447,CrayZeei,6,7,13
10734140,Issai,4,9,13
13392709,Emre1504,8,5,13
15397129,Lexa14,7,6,13
17307654,roxorotto,7,6,13
17540374,krytwal,3,10,13
29429252,AppleRank,4,9,13
157177,Natteke,6,6,12
398275,Kurokotei,6,6,12
2652951,Trynna,2,10,12
8512755,Arach,7,5,12
8601048,JarvisGaming,10,2,12
9738159,salchow,7,5,12
11490996,zilaxx,9,3,12
14890963,yurishe,5,7,12
14892190,Tiera,8,4,12
15250472,Vivien,8,4,12
16352736,bighzonda,0,12,12
557166,those,4,7,11
686460,Haruka_old,0,11,11
1190127,Seika Kasanui,5,6,11
1442333,-Tenshi-,9,2,11
1467715,Gero,5,6,11
1561995,neonat,8,3,11
2192669,1Lili,6,5,11
2258362,0gre_old,0,11,11
2463434,zigizigiefe,7,4,11
2479487,PatZar,3,8,11
2828556,Coryn,5,6,11
2865172,Briesmas,11,0,11
5115995,A r M i N,6,5,11
5179995,Maneh,4,7,11
5720389,Fallmorph,8,3,11
6502903,,6,5,11
7183087,mareep,4,7,11
9228032,seriodog,6,5,11
13279859,Kyoko Sakura,11,0,11
15142530,Ticy,4,7,11
17302272,Kurumiism,9,2,11
18397349,Arityle,4,7,11
22504149,LuroxS,11,0,11
77089,Kurai,9,1,10
348714,jossieP,2,8,10
375143,KinomiCandy,0,10,10
522188,Naryuga,0,10,10
1165368,Senritsu,6,4,10
2786984,Nanatsu,9,1,10
2845958,Skylish,5,5,10
3280542,SKSalt,6,4,10
3533958,fieryrage,2,8,10
4115718,,10,0,10
5009970,Dayzeek,4,6,10
6069462,Phob,2,8,10
8609627,[GB]Edward_Tsui,3,7,10
8987606,kitafuma,8,2,10
12029122,Vanity8,7,3,10
13547767,Asa Kazato,4,6,10
14324722,Naverlyn,5,5,10
16650552,HaLTi,9,1,10
16761278,Sagasemat,2,8,10
19421910,Arcyol,7,3,10
22942234,cev,6,4,10
25094413,raynald,2,8,10
33109610,_tivo,0,10,10
34750396,heitonto,6,4,10
194345,Cristian,0,9,9
292295,Pheon,1,8,9
374354,Yunacat,0,9,9
499843,Coro,5,4,9
654883,No_Gu,7,2,9
906991,Niko-nyan,5,4,9
1031958,karterfreak,3,6,9
1033017,Flower,4,5,9
2202645,Myxo,6,3,9
2998491,Akiyama Riemyo,6,3,9
5851253,Lyawi,2,7,9
5991961,Ney,6,3,9
6306704,Friggy-chan,5,4,9
6775507,Melissa,6,3,9
7792131,Crysally,9,0,9
7935022,butter0414,3,6,9
8050850,Red Riding Hood,7,2,9
8503743,Izzeee,8,1,9
8838763,aceticke,5,4,9
9022173,,9,0,9
12070518,_Vex,3,6,9
12883611,catgirlflowers,5,4,9
13142180,Aurorance,4,5,9
18603653,-Ryuji-,9,0,9
25396679,reisen91937,9,0,9
27613947,Kinpo,7,2,9
30481748,Nintendo 64,2,7,9
99269,Krisom,6,2,8
117022,youngdow,1,7,8
124455,NoHitter,6,2,8
980092,Ozu,3,5,8
1019859,Kokatsu,1,7,8
1163051,KamizonoShinobu,8,0,8
1387762,Grimbow,4,4,8
1541323,Noffy,4,4,8
1600041,Ak1o,5,3,8
1612624,GoldenWolf,7,1,8
2931883,Ascendance,7,1,8
5116922,salisburysteak9,4,4,8
6089608,Shima Rin,6,2,8
6752242,ZelLink,6,2,8
7918664,LimeDimeNine,7,1,8
8065042,LemonDust,2,6,8
9502522,TNTlealu,8,0,8
10004804,Chitanda Eru,5,3,8
11626462,CatzerTM,2,6,8
12265200,LilacCos,8,0,8
14001000,Paraxia,7,1,8
17640749,4lw,4,4,8
22670606,Wanijimaru,5,3,8
31198498,Rookdaooooo,3,5,8
34186004,,6,2,8
5726,pokedigi,0,7,7
34044,xierbaliti,6,1,7
113005,Shiro,3,4,7
120282,woodrockman,0,7,7
151679,NatsumeRin,3,4,7
224335,LZD,4,3,7
259446,Jing,0,7,7
321112,koko6162006,0,7,7
346352,kazenotama,0,7,7
682935,Nyquill,2,5,7
707980,Akemi_Homura,3,4,7
1109122,roufou,3,4,7
1588551,Dainesl,2,5,7
2420987,Julie,0,7,7
3679326,guro,4,3,7
4354389,Kazaze,4,3,7
4689256,eae,1,6,7
6487115,ASPIRIN,6,1,7
6874332,yea,5,2,7
8011704,J a c k y,3,4,7
9128499,[Belajar-Osu],2,5,7
9540073,Grape_Tea,4,3,7
10561973,Aljotzi,5,2,7
10659264,SB Rookie,6,1,7
10969875,midorijeon,7,0,7
11327918,nytro,6,1,7
11992585,KawaiiBass,7,0,7
12157130,Wanpachi,5,2,7
12702107,GOD82028,7,0,7
13032817,KennethBBG,3,4,7
13660273,fhz,2,5,7
14167247,CoEqual,3,4,7
15252950,Seren58,3,4,7
16711065,Soraka,4,3,7
20295114,shininghalo,4,3,7
21076274,soirT,5,2,7
30370354,LostF4te,6,1,7
33754270,linedcolt,5,2,7
27343,ignorethis,1,5,6
27767,happy30,6,0,6
197876,Cute Bunny,1,5,6
353437,DarknessAngel,5,1,6
389236,Star Stream,4,2,6
468393,kg2161012,0,6,6
547882,Gemu-,3,3,6
707875,Medi-chan_old,0,6,6
802909,[Luanny],1,5,6
1185254,Fiya,0,6,6
1249323,Hinsvar,2,4,6
1399551,Sylphi,5,1,6
1530993,-xNaCLx-,3,3,6
1940325,DarkVortex,3,3,6
2478769,BlackHairEND,5,1,6
2512120,Smallwu,5,1,6
2680544,namaniku,2,4,6
3442319,Etsu,4,2,6
4069690,Ectomic,2,4,6
